Fecha,Product_ID,Código,Categoría,Producto,Precio Costo,Total COGS,Cantidad,Precio Unitario,Monto
25/06/2022,58,9.54456E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,400,400,1,440
25/06/2022,41,7.79811E+12,Aperitivo,Fernandito 1000ml,113,113,1,150,150
25/06/2022,108,77978141,Cigarrillo,Marlboro Fusión 10 10,190,190,1,250,250
25/06/2022,317,REPUESTODIBUJOBLANCO5,Librería,Repuesto Dibujo N°5 El Nene 1,23,184,8,30,240
25/06/2022,191,1.47852E+11,Fotocopia,IMPRESIÓN A4 1,0,0,8,20,160
25/06/2022,192,9.63259E+11,Fotocopia,IMPRESIÓN LEGAL  1,0,0,1,30,30
25/06/2022,187,1.53426E+11,Fotocopia,SIMPLE FAZ LEGAL / DOBLE FAZ A4 1,0,0,22,20,440
25/06/2022,311,7.79689E+12,Librería,Folio Oficio 1,23,23,1,30,30
25/06/2022,109,77947550,Cigarrillo,Marlboro Fusión 20 20,325,325,1,370,370
25/06/2022,451,7.79818E+12,Soda,Soda Vitalissima 2000ml,113,113,1,150,150
25/06/2022,355,7.79271E+12,Mercadito,Yerba Amanda Tradicional 250g,180,180,1,240,240
25/06/2022,60,7.7928E+12,Cerveza,Quilmes Clásica  473ml,125,125,1,170,170
25/06/2022,224,7.7909E+12,Gaseosa,Coca Cola 2250ml,250,250,1,350,350
25/06/2022,200,7.79179E+12,Galletita,Trío Pepas 200g,98,98,1,130,130
25/06/2022,228,7.7909E+12,Gaseosa,Sprite  2250ml,263,263,1,350,350
25/06/2022,228,7.7909E+12,Gaseosa,Sprite  2250ml,263,263,1,350,350
25/06/2022,114,77941558,Cigarrillo,Master 20 Común 20,105,105,1,160,160
25/06/2022,255,77919489,Golosina,"Topline Sandía 6,7g",38,38,1,60,60
25/06/2022,267,7.79461E+12,Golosina,Caramelos Alka ,2,8,4,2.5,10
26/06/2022,191,1.47852E+11,Fotocopia,IMPRESIÓN A4 1,0,0,3,20,60
26/06/2022,274,7.7909E+12,Jugo,Cepita Durazno 1500ml,200,200,1,250,250
26/06/2022,15,7.79004E+12,Agua Saborizada,Baggio Fresh Naranja Liviano 200ml,49,49,1,70,70
26/06/2022,81,7.79004E+12,Chocolate,Tatín Blanco Simple 1,38,38,1,50,50
26/06/2022,247,77940131,Golosina,Turrón Maní Arcor 25g,30,30,1,40,40
26/06/2022,58,9.54456E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,100,100,1,110
26/06/2022,59,7.7928E+12,Cerveza,Brahma  473ml,135,135,1,180,180
26/06/2022,58,9.54456E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,100,100,1,110
26/06/2022,119,77953513,Cigarrillo,Chesterfield 20 Común 20,250,250,1,290,290
26/06/2022,59,7.7928E+12,Cerveza,Brahma  473ml,135,135,1,180,180
26/06/2022,188,3.51625E+11,Fotocopia,SIMPLE FAZ A4 1,0,0,14,10,140
26/06/2022,24,7.79004E+12,Agua Saborizada,Baggio Fresh Manzana Liviano 200ml,49,49,1,70,70
26/06/2022,435,7.79813E+12,Snack,Tostex Barbacoa 125g,113,113,1,150,150
26/06/2022,105,77983343,Cigarrillo,Marlboro 10 Común 10,200,200,1,250,250
26/06/2022,243,7.79138E+12,Gaseosa,Cabalgata Guaraná 3000ml,168,168,1,240,240
26/06/2022,58,9.54456E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,450,450,1,495
26/06/2022,14,7.79004E+12,Agua Saborizada,Baggio Fresh Pomelo 1500ml,100,100,1,140,140
26/06/2022,58,9.54456E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,200,200,1,220
26/06/2022,164,7.79084E+12,Farmacia,Ibu 400 ISA 1,23,23,1,30,30
26/06/2022,61,7.79315E+12,Cerveza,Schneider  473ml,120,120,1,170,170
26/06/2022,265,77958655,Golosina,"Menthoplus Miel 29,4g",53,53,1,70,70
26/06/2022,18,7.79806E+12,Agua Saborizada,Levité Pomelo 2250ml,175,175,1,250,250
26/06/2022,450,7.79365E+12,Soda,Soda Torasso 2000ml,113,113,1,150,150
26/06/2022,224,7.7909E+12,Gaseosa,Coca Cola 2250ml,250,250,1,350,350
26/06/2022,267,7.79461E+12,Golosina,Caramelos Alka ,2,8,4,2.5,10
26/06/2022,442,7.9302E+11,Snack,Tutuca 80 grs 1,59,59,1,70,70
26/06/2022,288,7.79106E+12,Lácteos,Leche Entera Manfrey 1000ml,135,135,1,180,180
26/06/2022,112,77976505,Cigarrillo,Lucky Strike 10 Común 12,180,180,1,230,230
26/06/2022,263,6.21355E+11,Golosina,Caramelos 1,4,80,20,5,100
26/06/2022,460,77917188,Varios,La Gotita 1,180,180,1,240,240
26/06/2022,3,AGUACALIENTE,Agua,Agua caliente 1,0,0,1,50,50
26/06/2022,97,7.79038E+12,Chocolate,Alteza Chocolate Taza 90g,128,256,2,170,340
26/06/2022,191,1.47852E+11,Fotocopia,IMPRESIÓN A4 1,0,0,1,20,20
26/06/2022,62,7.89605E+12,Cerveza,Schin  473ml,120,120,1,150,150
26/06/2022,263,6.21355E+11,Golosina,Caramelos 1,4,16,4,5,20
26/06/2022,117,77912879,Cigarrillo,Philip Morris 20 Común 20,300,300,1,340,340
26/06/2022,106,77916433,Cigarrillo,Marlboro 20 Común 20,325,325,1,370,370
26/06/2022,76,7.7928E+12,Cerveza,Corona  710ml,300,300,1,400,400
26/06/2022,263,6.21355E+11,Golosina,Caramelos 1,4,8,2,5,10
26/06/2022,235,7.79138E+12,Gaseosa,Cabalgata Cola 3000ml,168,168,1,240,240
26/06/2022,233,7.79181E+12,Gaseosa,7up Lata 354ml,90,90,1,120,120
26/06/2022,170,BUSCAPINA,Farmacia,Buscapina Compositum 1,30,120,4,40,160
26/06/2022,468,3.05707E+12,Varios,Liyo Caja 50,60,120,2,100,200
26/06/2022,495,7.79031E+12,Vino,Estancia Mendoza Cabernet Malbec 1125ml,405,405,1,550,550
26/06/2022,451,7.79818E+12,Soda,Soda Vitalissima 2000ml,113,113,1,150,150
26/06/2022,493,7.79098E+12,Vino,Marquéz del Sur Blend Magnum 1125ml,280,280,1,400,400
26/06/2022,224,7.7909E+12,Gaseosa,Coca Cola 2250ml,250,250,1,350,350
26/06/2022,288,7.79106E+12,Lácteos,Leche Entera Manfrey 1000ml,135,135,1,180,180
26/06/2022,73,7.7928E+12,Cerveza,Stella Artois Retornable 1000ml,300,300,1,400,400
26/06/2022,58,9.54456E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,200,200,1,220
26/06/2022,121,5.80059E+11,Cigarrillo,Suelto Barato 1,11,11,1,15,15
26/06/2022,276,7.7909E+12,Jugo,Ades Manzana 1000ml,165,165,1,220,220
26/06/2022,114,77941558,Cigarrillo,Master 20 Común 20,105,105,1,160,160
26/06/2022,121,5.80059E+11,Cigarrillo,Suelto Barato 1,11,110,10,15,150
27/06/2022,188,3.51625E+11,Fotocopia,SIMPLE FAZ A4 1,0,0,7,10,70
27/06/2022,114,77941558,Cigarrillo,Master 20 Común 20,105,105,1,160,160
27/06/2022,109,77947550,Cigarrillo,Marlboro Fusión 20 20,325,325,1,370,370
