Fecha,product_id,Código,Categoría,Producto,Precio Costo,Total COGS,Plataforma,Cuenta,Cantidad,Precio Unitario,Monto,sale_id
2022-06-25,119,9.54E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,400,,Efectivo,400,1,440,1
2022-06-25,217,7.80E+12,Aperitivo,Fernandito 1000ml,113,113,,Efectivo,1,180,180,2
2022-06-25,352,77978141,Cigarrillo,Marlboro Fusión 12,220,220,,Efectivo,1,310,310,3
2022-06-25,475,REPUESTODIBUJOBLANCO5,Librería,Repuesto Dibujo N°5 El Nene 1,23,184,,Efectivo,8,50,400,4
2022-06-25,272,1.48E+11,Fotocopia,IMPRESIÓN A4 1,0,0,,Efectivo,8,20,160,5
2022-06-25,273,9.63E+11,Fotocopia,IMPRESIÓN LEGAL  1,0,0,,Efectivo,1,30,30,6
2022-06-25,517,1.53E+11,Fotocopia,SIMPLE FAZ LEGAL / DOBLE FAZ A4 1,0,0,,Efectivo,22,20,440,7
2022-06-25,229,7.80E+12,Librería,Folio Oficio 1,23,23,,Efectivo,1,50,50,8
2022-06-25,353,77947550,Cigarrillo,Marlboro Fusión 20 Box,390,390,,Efectivo,1,480,480,9
2022-06-25,530,7.80E+12,Soda,Soda Vitalissima 2000ml,113,113,,Efectivo,1,200,200,10
2022-06-25,609,7.79E+12,Mercadito,Yerba Amanda Tradicional 250g,180,180,,Efectivo,1,300,300,11
2022-06-25,467,7.79E+12,Cerveza,Quilmes Clásica  473ml,149,149,,Efectivo,1,220,220,12
2022-06-25,148,7.79E+12,Gaseosa,Coca Cola 2250ml,317,317,,Efectivo,1,420,420,13
2022-06-25,585,7.79E+12,Galletita,Trío Pepas 200g,98,98,,Efectivo,1,150,150,14
2022-06-25,534,7.79E+12,Gaseosa,Sprite  2250ml,263,263,,Efectivo,1,420,420,15
2022-06-25,534,7.79E+12,Gaseosa,Sprite  2250ml,263,263,,Efectivo,1,420,420,16
2022-06-25,356,77941558,Cigarrillo,Master Común 20,120,120,,Efectivo,1,180,180,17
2022-06-25,570,77919489,Golosina,"Topline Sandía 6,7g",38,38,,Efectivo,1,80,80,18
2022-06-25,117,7.79E+12,Golosina,Caramelos Alka ,1.8,7.2,,Efectivo,4,3.33,13.33,19
2022-06-26,272,1.48E+11,Fotocopia,IMPRESIÓN A4 1,0,0,,Efectivo,3,20,60,20
2022-06-26,125,7.79E+12,Jugo,Cepita Durazno 1500ml,250,250,,Efectivo,1,380,380,21
2022-06-26,56,7.79E+12,Agua Saborizada,Baggio Fresh Naranja Liviano 200ml,49,49,,Efectivo,1,70,70,22
2022-06-26,552,7.79E+12,Chocolate,Tatín Blanco Simple 1,41,41,,Efectivo,1,60,60,23
2022-06-26,587,77940131,Golosina,Turrón Maní Arcor 25g,30,30,,Efectivo,1,60,60,24
2022-06-26,119,9.54E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,100,,Efectivo,100,1,110,25
2022-06-26,89,7.79E+12,Cerveza,Brahma  473ml,150,150,,Efectivo,1,230,230,26
2022-06-26,119,9.54E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,100,,Efectivo,100,1,110,27
2022-06-26,129,77953513,Cigarrillo,Chesterfield 20 Común ,280,280,,Efectivo,1,370,370,28
2022-06-26,89,7.79E+12,Cerveza,Brahma  473ml,150,150,,Efectivo,1,230,230,29
2022-06-26,516,3.52E+11,Fotocopia,SIMPLE FAZ A4 1,0,0,,Efectivo,14,10,140,30
2022-06-26,53,7.79E+12,Agua Saborizada,Baggio Fresh Manzana Liviano 200ml,49,49,,Efectivo,1,70,70,31
2022-06-26,579,7.80E+12,Snack,Tostex Barbacoa 125g,113,113,,Efectivo,1,150,150,32
2022-06-26,349,77983343,Cigarrillo,Marlboro  Común 12,240,240,,Efectivo,1,330,330,33
2022-06-26,99,7.79E+12,Gaseosa,Cabalgata Guaraná 3000ml,192,192,,Efectivo,1,300,300,34
2022-06-26,119,9.54E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,450,,Efectivo,450,1,495,35
2022-06-26,57,7.79E+12,Agua Saborizada,Baggio Fresh Pomelo 1500ml,101.67,101.67,,Efectivo,1,170,170,36
2022-06-26,119,9.54E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,200,,Efectivo,200,1,220,37
2022-06-26,264,7.79E+12,Farmacia,Ibu 400 ISA 1,23,23,,Efectivo,1,30,30,38
2022-06-26,498,7.79E+12,Cerveza,Schneider  473ml,159,159,,Efectivo,1,200,200,39
2022-06-26,368,77958655,Golosina,"Menthoplus Miel 29,4g",53,53,,Efectivo,1,80,80,40
2022-06-26,305,7.80E+12,Agua Saborizada,Levité Pomelo 2250ml,171,171,,Efectivo,1,260,260,41
2022-06-26,529,7.79E+12,Soda,Soda Torasso 2000ml,113,113,,Efectivo,1,150,150,42
2022-06-26,148,7.79E+12,Gaseosa,Coca Cola 2250ml,317,317,,Efectivo,1,420,420,43
2022-06-26,117,7.79E+12,Golosina,Caramelos Alka ,1.8,7.2,,Efectivo,4,3.33,13.33,44
2022-06-26,590,7.93E+11,Snack,Tutuca 80 grs 1,59,59,,Efectivo,1,80,80,45
2022-06-26,297,7.79E+12,Lácteos,Leche Entera Manfrey 1000ml,135,135,,Efectivo,1,230,230,46
2022-06-26,316,77976505,Cigarrillo,Lucky Strike  Común 12 ,210,210,,Efectivo,1,300,300,47
2022-06-26,116,6.21E+11,Golosina,Caramelos 1,7,140,,Efectivo,20,5,100,48
2022-06-26,284,77917188,Varios,La Gotita 1,180,180,,Efectivo,1,280,280,49
2022-06-26,21,AGUACALIENTE,Agua,Agua caliente 1,56,56,,Efectivo,1,50,50,50
2022-06-26,36,7.79E+12,Chocolate,Alteza Chocolate Taza 90g,128,256,,Efectivo,2,250,500,51
2022-06-26,272,1.48E+11,Fotocopia,IMPRESIÓN A4 1,0,0,,Efectivo,1,20,20,52
2022-06-26,497,7.90E+12,Cerveza,Schin  473ml,120,120,,Efectivo,1,180,180,53
2022-06-26,116,6.21E+11,Golosina,Caramelos 1,7,28,,Efectivo,4,10,40,54
2022-06-26,429,77912879,Cigarrillo,Philip Morris 20 Común 20,340,340,,Efectivo,1,450,450,55
2022-06-26,351,77916433,Cigarrillo,Marlboro  Común 20,380,380,,Efectivo,1,490,490,56
2022-06-26,157,7.79E+12,Cerveza,Corona  710ml,300,300,,Efectivo,1,420,420,57
2022-06-26,116,6.21E+11,Golosina,Caramelos 1,7,14,,Efectivo,2,10,20,58
2022-06-26,97,7.79E+12,Gaseosa,Cabalgata Cola 3000ml,192,192,,Efectivo,1,300,300,59
2022-06-26,7,7.79E+12,Gaseosa,7up Lata 354ml,90,90,,Efectivo,1,130,130,60
2022-06-26,95,BUSCAPINA,Farmacia,Buscapina Compositum 1,30,120,,Efectivo,4,40,160,61
2022-06-26,312,3.06E+12,Varios,Liyo Caja 50,60,120,,Efectivo,2,140,280,62
2022-06-26,209,7.79E+12,Vino,Estancia Mendoza Cabernet Malbec 1125ml,457,457,,Efectivo,1,570,570,63
2022-06-26,530,7.80E+12,Soda,Soda Vitalissima 2000ml,113,113,,Efectivo,1,200,200,64
2022-06-26,354,7.79E+12,Vino,Marquéz del Sur Blend Magnum 1125ml,280,280,,Efectivo,1,500,500,65
2022-06-26,148,7.79E+12,Gaseosa,Coca Cola 2250ml,317,317,,Efectivo,1,420,420,66
2022-06-26,297,7.79E+12,Lácteos,Leche Entera Manfrey 1000ml,135,135,,Efectivo,1,230,230,67
2022-06-26,537,7.79E+12,Cerveza,Stella Artois Retornable 1000ml,300,300,,Efectivo,1,500,500,68
2022-06-26,119,9.54E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,200,,Efectivo,200,1,220,69
2022-06-26,538,5.80E+11,Cigarrillo,Suelto Barato 1,11,11,,Efectivo,1,20,20,70
2022-06-26,17,7.79E+12,Jugo,Ades Manzana 1000ml,225,225,,Efectivo,1,350,350,71
2022-06-26,356,77941558,Cigarrillo,Master Común 20,120,120,,Efectivo,1,180,180,72
2022-06-26,538,5.80E+11,Cigarrillo,Suelto Barato 1,11,110,,Efectivo,10,20,200,73
2022-06-27,516,3.52E+11,Fotocopia,SIMPLE FAZ A4 1,0,0,,Efectivo,7,10,70,74
2022-06-27,356,77941558,Cigarrillo,Master Común 20,120,120,,Efectivo,1,180,180,75
2022-06-27,353,77947550,Cigarrillo,Marlboro Fusión 20 Box,390,390,,Efectivo,1,480,480,76
2022-06-27,517,1.53E+11,Fotocopia,SIMPLE FAZ LEGAL / DOBLE FAZ A4 1,,0,,Efectivo,1,20,20,77
2022-06-27,272,1.48E+11,Fotocopia,IMPRESIÓN A4 1,0,0,,Efectivo,2,20,40,78
2022-06-27,316,77976505,Cigarrillo,Lucky Strike  Común 12 ,210,210,,Efectivo,1,300,300,79
2022-06-27,341,7.80E+12,Librería,Mapa del Chaco N 3 Político 1,15,15,,Efectivo,1,50,50,80
2022-06-27,496,77912718,Chocolate,Sapito Maní 10g,23,23,,Efectivo,1,30,30,81
2022-06-27,42,7.79E+12,Chocolate,Arcor Milk Sorpresa 264g,101,101,,Efectivo,1,250,250,82
2022-06-27,129,77953513,Cigarrillo,Chesterfield 20 Común ,280,280,,Efectivo,1,370,370,83
2022-06-27,30,7.80E+12,Agua,Aguas de Las Misiones 500ml,56,56,,Efectivo,1,100,100,84
2022-06-27,134,7.79E+12,Lácteos,Chocolatada Tregar 200ml,90,90,,Efectivo,1,120,120,85
2022-06-27,252,7.79E+12,Mercadito,Harina 000 Cañuelas Ultra Refinada 1000g,98,98,,Efectivo,1,130,130,86
2022-06-27,403,7.79E+12,Farmacia,Pañal Huggies M 1,38,38,,Efectivo,1,60,60,87
2022-06-27,88,BOCADITOSBELCHOCO,Chocolate,Bombón Bel Choco 9g,15,30,,Efectivo,2,20,40,88
2022-06-27,435,1.61E+11,Varios,PILAS TRIPLE A 1,70,140,,Efectivo,2,150,300,89
2022-06-27,539,4.61E+11,Cigarrillo,Suelto Nacional 1,19,95,,Efectivo,5,30,150,90
2022-06-27,157,7.79E+12,Cerveza,Corona  710ml,300,300,,Efectivo,1,420,420,91
2022-06-27,272,1.48E+11,Fotocopia,IMPRESIÓN A4 1,0,0,,Efectivo,1,20,20,92
2022-06-27,516,3.52E+11,Fotocopia,SIMPLE FAZ A4 1,0,0,,Efectivo,1,10,10,93
2022-06-27,467,7.79E+12,Cerveza,Quilmes Clásica  473ml,149,149,,Efectivo,1,220,220,94
2022-06-27,157,7.79E+12,Cerveza,Corona  710ml,300,300,,Efectivo,1,420,420,95
2022-06-27,539,4.61E+11,Cigarrillo,Suelto Nacional 1,19,19,,Efectivo,1,30,30,96
2022-06-27,538,5.80E+11,Cigarrillo,Suelto Barato 1,11,44,,Efectivo,4,20,80,97
2022-06-27,119,9.54E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,400,,Efectivo,400,1,440,98
2022-06-27,582,9.87E+11,Fotocopia,TRÁMITES (Tipear nombre del trámite) 1,0,0,,Efectivo,2,350,700,99
2022-06-27,311,77969675,Cigarrillo,Liverpool 20 Box Rojo,108,108,,Efectivo,1,200,200,100
2022-06-27,30,7.80E+12,Agua,Aguas de Las Misiones 500ml,56,56,,Efectivo,1,100,100,101
2022-06-27,119,9.54E+11,Carga,"Carga Virtual (Tipear TOTAL DE CARGA en: ""Monto"") 1",1,300,,Efectivo,300,1,330,102
2022-06-27,317,77976994,Cigarrillo,Lucky Strike  Convertible 12,210,210,,Efectivo,1,270,270,103
2022-06-27,356,77941558,Cigarrillo,Master Común 20,120,120,,Efectivo,1,180,180,104
2022-06-27,536,7.79E+12,Gaseosa,Sprite Retornable 2000ml,173,173,,Efectivo,1,320,320,105
2022-06-27,553,7.79E+12,Chocolate,Tatín Blanco Triple 1,52,104,,Efectivo,2,90,180,106
2022-06-27,555,7.79E+12,Chocolate,Tatín Negro Triple 1,52,52,,Efectivo,1,90,90,107
2022-06-27,414,7.79E+12,Mercadito,Papel Higiénico Higienol  50m,60,60,,Efectivo,1,100,100,108
2022-06-27,467,7.79E+12,Cerveza,Quilmes Clásica  473ml,149,149,,Efectivo,1,220,220,109
2022-06-27,491,7.79E+12,Embutidos,Salchichas Don Otto 190g,83,166,,Efectivo,2,110,220,110
2022-06-27,272,1.48E+11,Fotocopia,IMPRESIÓN A4 1,0,0,,Efectivo,1,20,20,111
2022-06-27,517,1.53E+11,Fotocopia,SIMPLE FAZ LEGAL / DOBLE FAZ A4 1,0,0,,Efectivo,2,20,40,112
2022-06-27,213,7.79E+12,Gaseosa,Fanta 2250ml,263,263,,Efectivo,1,420,420,113
2022-06-27,89,7.79E+12,Cerveza,Brahma  473ml,150,150,,Efectivo,1,230,230,114
2022-06-28,134,7.79E+12,Lácteos,Chocolatada Tregar 200ml,90,90,,Efectivo,1,120,120,115
